gsd_min,1.75
###,###,-4.479848591740641,-6.978028659392899,-9.520525835622475,-12.006861583822486,-14.393548705170586,-16.664532043309315,-18.816872056627822,-20.853802872576264,-22.781312037729414,-24.60643285964823,-26.33639055121603,-27.97818385611745,-29.538392511562765,-31.02310268156104,-32.43789362403667,-33.787855255523915,-35.07762024038944,-36.31140176574002,-37.49303229144058,-38.62600084957855,-39.71348773690642,-40.75839614529021,-41.76338065615052,-42.73087272388774,-43.6631033690624,-44.56212333982989,-45.429821005896294,-46.267938238154095,-47.078084507881805,-47.86174941689742,-48.62031384710767,-49.35505989595485,-50.06717974404747,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-4.7594249412521705,-7.237608159311813,-9.719646434797271,-12.123469380452772,-14.416579830506715,-16.58933604614181,-18.64255192071089,-20.581665226162336,-22.41394712562484,-24.147156860060772,-25.788901477109803,-27.34634660603856,-28.82610387170523,-30.2342068339924,-31.576130089956557,-32.8568279297287,-34.08078025409654,-35.252039448591454,-36.374275109616114,-37.450815234064976,-38.48468339662391,-39.47863191283198,-40.435171219120356,-41.35659580255513,-42.24500704361401,-43.102333328956945,-43.93034776676331,-44.730683805295776,-45.50484902160451,-46.25423731466546,-46.9801397071729,-47.68375393323698,-48.36619296546006,-49.02849261413388,-49.67161831334306,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-5.027462581016184,-7.480854432362485,-9.902992667055695,-12.22842601018617,-14.434257999085698,-16.51632934540698,-18.478601977989413,-20.328324732017773,-22.073797675637582,-23.723341520607633,-25.284840598158876,-26.765563141554704,-28.172115694033874,-29.510460856319558,-30.785962896864287,-32.00344341077694,-33.167238219118495,-34.28125134649982,-35.34900431841779,-36.37368025065079,-37.35816281445022,-38.30507044440745,-39.21678626617512,-40.09548424243443,-40.94315201288718,-41.76161086200079,-42.55253319966726,-43.317457891494676,-44.05780373031982,-44.7748813000205,-45.469903447144254,-46.14399454506591,-46.79819870893542,-47.43348709707416,-48.05076441522454,-48.65087472367943,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-5.284025254727454,-7.708970978253335,-10.072223895784987,-12.323275400098579,-14.44761391011773,-16.445774088432195,-18.324364714362076,-20.092126717462794,-21.75818551744417,-23.331293886146153,-24.819532454520804,-26.230223170100064,-27.56994010570851,-28.844562008996327,-30.059339708236056,-31.218965559898066,-32.327639112895376,-33.38912664846494,-34.406813971546704,-35.38375264546872,-36.32270021719033,-37.22615510262373,-38.096386809053776,-38.9354621262072,-39.745267851089984,-40.527530540526755,-41.28383371720798,-42.01563289336302,-42.72426872201891,-43.410978539108285,-44.07690651987432,-44.723112639290655,-45.35058059774762,-45.9602248492761,-46.552896849388475,-47.1293906226096,-47.690447735429615,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-5.529320233448192,-7.923089225604199,-10.228791871624974,-12.409316068211872,-14.45747371795552,-16.37782386905448,-18.17920495108273,-19.87158896186722,-21.46476274122545,-22.967808568169275,-24.388940331665985,-25.7354964896191,-27.013998536189117,-28.230232647451643,-29.389335091021383,-30.49587290452516,-31.553916578715153,-32.56710395700001,-33.53869568772356,-34.47162302551855,-35.368528915231174,-36.23180327786882,-37.06361333900161,-37.865929738867244,-38.64054906066224,-39.38911331836522,-40.11312686137053,-40.8139710808385,-41.49291724130442,-42.15113770951745,-42.78971580935857,-43.409654495719465,-44.01188401024779,-44.597268656875336,-45.16661281418888,-45.7206662842683,-46.26012906301194,-46.78565560470601,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-5.7636552587703616,-8.124264014627114,-10.373969411667783,-12.48764529947054,-14.464501676345709,-16.312551943770636,-18.042515180220974,-19.665379478516638,-21.191460158997096,-22.63008721435302,-23.989558497994796,-25.27720067331468,-26.49946806837264,-27.6620487265886,-28.76996473738564,-29.82766208816976,-30.839088976256,-31.807763120250236,-32.73682922319091,-33.62910789374342,-34.48713728223874,-35.31320855839081,-36.109396205382446,-36.87758395705437,-37.61948707189111,-38.33667152255792,-39.03057058262119,-39.70249921105019,-40.35366656795896,-40.985186939622835,-41.59808930511018,-42.19332573919488,-42.77177881511612,-43.33426814503361,-43.881556174712436,-44.4143533312584,-44.93332260796642,-45.439083658009935,-45.93221645836077,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-5.987405740739311,-8.313472967312787,-10.508875050936,-12.559194682535841,-14.469233536547721,-16.249972842430445,-17.913719084193023,-19.472298403878195,-20.936446131188628,-22.315674362950595,-23.618326229256162,-24.8516950962337,-26.022157720450245,-27.135300816796875,-28.196033780937597,-29.20868604390425,-30.177089895432808,-31.1046504532657,-31.994404625734425,-32.84907080538758,-33.67109082193478,-34.46266545398603,-35.225784584928974,-35.96225290093182,-36.67371187069448,-37.361658615204654,-38.027462167902186,-38.672377537574036,-39.2975579145279,-39.90406530211764,-40.492879808004915,-41.06490779057037,-41.620989023963475,-42.161903019049696,-42.68837461589801,-43.20107894557426,-43.70064584417827,-44.18766378971524,-44.662683422080455,-45.12622069779449,-45.57875972385788,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-6.2009899882152,-8.49161833461264,-10.634494148112585,-12.624758774533584,-14.472102741389328,-16.190058822602087,-17.792273530161637,-19.29126285809012,-20.69809316081576,-22.0224057514793,-23.272558586741983,-24.45579545361358,-25.578408298418925,-26.64588106768696,-27.663012731145088,-28.634020770458417,-29.56262760793716,-30.452132628949368,-31.30547223845249,-32.12527005522051,-32.913879000487015,-33.67341672449628,-34.40579554764829,-35.112747872301355,-35.795847841700244,-36.45652987747282,-37.09610461044562,-37.715772625712596,-38.316636367391965,-38.89971048762618,-39.46593087514933,-40.01616255880428,-40.55120664887505,-41.071806452523596,-41.57865287782219,-42.07238922292002,-42.553615432044644,-43.02289188772627,-43.48074279837908,-43.92765923180357,-44.364101837984805,-44.79050329851022,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-6.404850679599991,-8.65953035443335,-10.751696919798368,-12.685018300251796,-14.473461013199445,-16.132752331266037,-17.67766935424279,-19.12129403290396,-20.474950405534067,-21.74836619272282,-22.949890168847045,-24.086704284417348,-25.16501083413582,-26.19019084788991,-27.16693567355966,-28.09935547090687,-28.991068505388096,-29.845274734827104,-30.664816636147172,-31.45222968628023,-32.20978444642793,-32.9395218133886,-33.64328269004527,-34.32273307836064,-34.97938540080729,-35.61461669976965,-36.22968424048027,-36.825738944569565,-37.4038370028266,-37.96494995300144,-38.509973458067606,-39.03973497971219,-39.555000508889734,-40.056480488486756,-40.544835041254665,-41.020678598206814,-41.484584007875384,-41.9370861945774,-42.378685423666795,-42.80985022326828,-43.231020004886375,-43.64260741932083,-44.04500047929098,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
###,###,-6.5994411500283086,-8.817971464045364,-10.861253840608494,-12.740558998821673,-14.473594578311138,-16.077975393300072,-17.569431228462776,-18.96150601226078,-20.265720777286088,-21.491854886795696,-22.648228993150173,-23.741954068354556,-24.7791397285054,-25.76506487808411,-26.704316395308354,-27.600901693884396,-28.45834027310854,-29.279738471074634,-30.067850801555203,-30.825130552438644,-31.553771757060517,-32.255744202460775,-32.9328227888255,-33.58661228182856,-34.218568287211134,-34.83001511108707,-35.422161039501056,-35.99611146849471,-36.55288023508233,-37.09339943529803,-37.61852796418455,-38.129058971431895,-38.62572639317748,-39.109210693576564,-39.58014392784494,-40.03911422055311,-40.48666973822559,-40.92332222314238,-41.34955014516693,-41.76580152004025,-42.172496435578,-42.57002932133366,-42.958770992346984,-43.33907049342308,###,###,###,###,###,###,###,###,###,###,###,###,###,###,
