gsd_min,1.75
###,###,-8.248956029649067,-10.099588294750667,-11.713841862173444,-13.147643747823611,-14.438762249324407,-15.61397864241519,-16.693021267454174,-17.69087225368338,-18.619195624402597,-19.487261718177862,-20.30256811470605,-21.07126989589093,-21.798485813561893,-22.488521205305638,-23.145033571540413,-23.771157743272685,-24.369601988399857,-24.94272283777099,-25.492584075610665,-26.021003773690822,-26.529592178972415,-27.019782520114077,-27.49285627174084,-27.94996403732874,-28.392142936380218,-28.820331178713577,-29.235380357415174,-29.638065877963044,-30.029095854204392,-30.40911873514378,-30.778729874771106,-31.138477216734646,-31.488866233831885,-31.83036423704201,-32.16340414866512,-32.488387817933884,-32.80568894436787,-33.11565566349518,-33.418612840864164,-33.714864113119155,-34.00469370901378,-34.28836807834052,-34.56613735267871,-34.838236658453944,-35.104887299936564,-35.366297827395,-35.62266500357434,-35.87417467993843,-36.1210025926346,-36.363315086878075,-36.60126977736995,-36.83501615143199,-37.06469612073804,-37.29044452682847,-37.51238960499125,-37.73065341057081,-37.945352211309334,###,
###,###,-8.363763174207843,-10.185250762374668,-11.768876008145734,-13.172441583490722,-14.434429720767694,-15.581871846352335,-16.6345475858529,-17.607403078810936,-18.512029399827693,-19.357610616593615,-20.151555994055812,-20.899935552023045,-21.60778855075333,-22.27934722234293,-22.918202410394994,-23.527428436156434,-24.10967874296677,-24.667260207143148,-25.202191614895703,-25.71625021158248,-26.21100914475376,-26.687867869961156,-27.148077057554783,-27.59275915856852,-28.02292551172273,-28.43949067048479,-28.843284477953556,-29.23506230356385,-29.61551376911936,-29.98527022528737,-30.34491118830447,-30.694969906529984,-31.035938194934065,-31.368270650607645,-31.692388342440097,-32.00868205210073,-32.3175151305283,-32.619226023626965,-32.91413051228904,-33.202523704818596,-33.48468181402073,-33.7608637464031,-34.03131252692834,-34.29625657940201,-34.5559108797682,-34.810477997213184,-35.06014903597258,-35.305104489035394,-35.545515013488966,-35.781542136011055,-36.01333889595359,-36.24105043255055,-36.464814521996374,-36.684762069461655,-36.90101756052277,-37.11369947597157,-37.32292067352426,-37.52878873955914,
###,###,-8.474017647279654,-10.267137234465308,-11.821273736581963,-13.195890404453728,-14.430081060547288,-15.55107638411467,-16.578681638987238,-17.52779439083806,-18.40992718695996,-19.234176082338166,-20.007862397497764,-20.73697260556088,-21.42646858182368,-22.080511829454267,-22.702628994848332,-23.295836324364704,-23.862734786421306,-24.405583835208652,-24.92635935932934,-25.426799741729646,-25.90844285987045,-26.372656096070795,-26.820660893945696,-27.253553015273337,-27.672319375054812,-28.077852129451337,-28.470960540365763,-28.852381027036568,-29.22278572892355,-29.582789838182894,-29.932957909007495,-30.273809311325746,-30.605822965089374,-30.929441466635083,-31.245074698882053,-31.553103001304905,-31.853879962852915,-32.14773489061965,-32.434974998606904,-32.715887353984044,-32.99074061252187,-33.25978657013752,-33.523261553542646,-33.78138766969083,-34.03437393095423,-34.28241727062995,-34.52570346140779,-34.764407947760326,-34.99869660179353,-35.228726410882665,-35.45464610437637,-35.67659672575904,-35.89471215588978,-36.10911959227142,-36.319939988725345,-36.52728845934692,-36.73127465018006,-36.93200308166784,
###,###,-8.579961229755583,-10.345479645703247,-11.871213646912743,-13.218093933727626,-14.425735034074663,-15.52152215959918,-16.525263973867265,-17.451798782013604,-18.31255606972528,-19.116542687189725,-19.87099263858511,-20.581810449424008,-21.253882696566507,-21.89130244973982,-22.49753450204796,-23.075539325943783,-23.627867622728193,-24.156733513479704,-24.664071948573056,-25.151584276223993,-25.620774802838092,-26.07298041379288,-26.509394786879454,-26.931088348115967,-27.33902484291248,-27.73407519270891,-28.117029156683465,-28.4886052051836,-28.84945892589488,-29.20019021820649,-29.541349480594654,-29.87344295639846,-30.19693737239705,-30.512263980104876,-30.819822090197324,-31.119982174844708,-31.413088600123007,-31.699462040440245,-31.979401618573572,-32.25318680806965,-32.52107912912342,-32.783323664381996,-33.04015041723817,-33.29177553193607,-33.53840239209169,-33.780222611942634,-34.0174169327057,-34.25015603478141,-34.47860127514809,-34.70290535809609,-34.92321294643217,-35.1396612194074,-35.352380382865775,-35.56149413645907,-35.76712010220729,-35.96937021819356,-36.16835110075429,-36.364164378153326,
###,###,-8.681821011159556,-10.42049231672766,-11.918859051301979,-13.239145802413669,-14.42140702208849,-15.49314313795106,-16.474146936094712,-17.379188410077326,-18.2196103402162,-19.004329640280982,-19.740493833926497,-20.4339271560552,-21.089442940899204,-21.71106803795909,-22.302207619926172,-22.865768560653198,-23.4042533705868,-23.919832794721223,-24.414402675445462,-24.889629029574834,-25.346984172995008,-25.787775958295306,-26.21317165272936,-26.624217600868754,-27.021855539713886,-27.406936231570565,-27.780230929987464,-28.142441081625297,-28.494206581791826,-28.836112836269855,-29.168696831825624,-29.49245237868665,-29.807834657609313,-30.11526417992018,-30.415130249629367,-30.707794001264077,-30.993591074619854,-31.272833977530883,-31.545814179531895,-31.81280397253836,-32.074058129118285,-32.329815384330196,-32.58029976328226,-32.825721773375996,-33.066279477524766,-33.30215946238578,-33.53353771374422,-33.76058040957502,-33.98344463993872,-34.20227906169553,-34.417224495022154,-34.62841446785356,-34.835975713632564,-35.04002862710898,-35.24068768237642,-35.43806181685352,-35.63225478449713,-35.82336548117001,
###,###,-8.779810241576639,-10.492373497638042,-11.964359533275555,-13.259130721898197,-14.417109579016113,-15.465877167534728,-16.425193695943353,-17.309753207194074,-18.130808892580756,-18.897187383298743,-19.61595072464416,-20.292844555090976,-20.932610983407642,-21.53921276983479,-22.1159975934071,-22.665820786856592,-23.191138624024727,-23.69408030925549,-24.176504288789385,-24.64004283775428,-25.086137754074002,-25.516069219740867,-25.930979350886624,-26.331891575058826,-26.719726697894945,-27.095316319489584,-27.45941411134391,-27.812705352945837,-28.15581504242706,-28.48931483110778,-28.81372898191103,-29.129539512882303,-29.43719065668259,-29.73709274294174,-30.029625591290078,-30.31514148761926,-30.593967803828477,-30.866409311347397,-31.132750230609886,-31.39325605200235,-31.648175158337395,-31.897740274374193,-32.142169765145795,-32.3816688017137,-32.616430410338396,-32.84663641884238,-33.07245831207255,-33.294058006785164,-33.511588554929816,-33.725194783159246,-33.9350138754092,-34.141175904546564,-34.34380431835841,-34.543016384525544,-34.73892359868158,-34.931632059185546,-35.12124281182643,-35.3078521673192,
###,###,-8.874129163706751,-10.561306763808155,-12.00785232397652,-13.278125499355594,-14.412852896630596,-15.439665790076425,-16.37827735671345,-17.243299270434566,-18.045892899074964,-18.79479456738237,-19.496981976446833,-20.15812388298317,-20.782893143019923,-21.375190477178727,-21.938308096487525,-22.475051739654596,-22.987833284953783,-23.47874211939086,-23.949600896188525,-24.40200963452598,-24.837380988356035,-25.25696873837496,-25.661891021808593,-26.05314943195356,-26.431644843798207,-26.798190620849187,-27.153523709569328,-27.498314016629386,-27.833172380135174,-28.15865738184763,-28.475281198003422,-28.78351464795308,-29.08379156976948,-29.376512628252076,-29.662048641897236,-29.94074350032126,-30.21291673147828,-30.478865768181095,-30.738867955424098,-30.993182333450527,-31.24205122611062,-31.48570165959669,-31.724346632935223,-31.958186258526737,-32.18740878843312,-32.4121915399372,-32.6327017320597,-32.849097243162284,-33.061527298441916,-33.27013309499241,-33.47504837114258,-33.67639992595229,-33.874308094032074,-34.06888718023774,-34.26024585825658,-34.44848753663911,-34.633710695428306,-34.81600919618545,
###,###,-8.964965816595386,-10.627462278480246,-12.049463519902917,-13.296199920058054,-14.408645189928885,-15.414454045546503,-16.333280139394475,-17.17964741417069,-17.964623734528903,-18.69685536384932,-19.38323689661645,-20.029361929530943,-20.639835990041743,-21.218499729035457,-21.768591819085938,-22.2928702486115,-22.793704236262393,-23.273144971527973,-23.73298081781009,-24.17478092878052,-24.59993009828017,-25.00965689022588,-25.40505655568415,-25.787109862155422,-26.15669868528822,-26.514619012855515,-26.861591862864252,-27.19827250714259,-27.525258308297378,-27.843095414292286,-28.152284505913943,-28.453285754362646,-28.74652311643995,-29.032388071332953,-29.31124288435213,-29.583423468073498,-29.849241899342555,-30.108988640889034,-30.362934508399515,-30.611332417428734,-30.85441893921032,-31.0924156900327,-31.325530575196183,-31.553958905523405,-31.77788440184682,-31.997480100754917,-32.2129091730707,-32.424325665004645,-32.63187517062267,-32.83569544316079,-33.03591695176782,-33.232663389443466,-33.426052137237846,-33.61619468917342,-33.803197041826834,-33.98716005205349,-34.16817976594265,-34.3463477217462,
###,###,-9.052496805491836,-10.69099793532992,-12.089309162564804,-13.313417516113791,-14.40449301895604,-15.39019027656334,-16.290092637744557,-17.118631866933942,-17.886781119882027,-18.60309706753527,-19.27439251508836,-19.906187617303924,-20.503022445842237,-21.06867947401054,-21.60634567430487,-22.118733031814756,-22.60816974389525,-23.076670326720077,-23.525990265076967,-23.9576691500945,-24.373065116804035,-24.77338261933556,-25.15969504278085,-25.532963269520614,-25.89405104393801,-26.243737779966033,-26.582729308770308,-26.91166695405718,-27.231135239650605,-27.541668470853782,-27.843756382558873,-28.13784900939832,-28.424360903766733,-28.70367480432237,-28.976144839143526,-29.242099332984413,-29.50184327623025,-29.755660503565366,-30.003815622571146,-30.246555726091355,-30.4841119169585,-30.71670066934096,-30.944525047376466,-31.167775798757553,-31.38663233842798,-31.601263635437437,-31.81182901422592,-32.018478880099835,-32.22135537738376,-32.420592987640646,-32.61631907441915,-32.808654380186795,-32.99771348041896,-33.183605199219144,-33.366432990331276,-33.54629528695977,-33.72328582342356,###,
###,###,-9.136888034449786,-10.752060392966289,-12.127496197606835,-13.329836238068548,-14.400401557741388,-15.366825935746018,-16.248613138089755,-17.06009909722911,-17.812161459222757,-18.51326795716844,-19.17015098425692,-19.788258959150788,-20.37206831737295,-20.925305171419787,-21.451106545692227,-21.952140078306233,-22.430694492919056,-22.888749068145124,-23.328027736575358,-23.750041749340518,-24.15612370822467,-24.54745499355537,-24.9250880782595,-25.289964838343288,-25.64293169727404,-25.98475224325707,-26.31611781212723,-26.637656419498732,-26.949940343597028,-27.25349259758972,-27.54879248211337,-27.836280371384554,-28.116361857118644,-28.38941135150808,-28.655775232284885,-28.915774598336164,-29.169707692638124,-29.41785203981169,-29.66046633790645,-29.89779213772569,-30.13005533783486,-30.357467519122526,-30.580227139240534,-30.79852060429576,-31.012523232695393,-31.22240012397053,-31.428306943652572,-31.630390633793475,-31.828790057462854,-32.02363658448114,-32.21505462473027,-32.40316211459675,-32.58807096142459,-32.769887450271646,-32.94871261675753,-33.1246425893533,###,###,
###,###,-9.218295399899839,-10.810786012182101,-12.164123328492298,-13.345509043180934,-14.396374819451871,-15.344315398412704,-16.20874699842487,-17.00390675452517,-17.740576348015548,-18.427135381977603,-19.070237258424868,-19.675260346727455,-20.246619211823,-20.78798534932649,-21.302447505739437,-21.792630543711734,-22.260785176403854,-22.708856798731127,-23.138539039250713,-23.55131595760364,-23.948495678291913,-24.33123747867692,-24.700573812509116,-25.057428371475826,-25.402631015683347,-25.736930206572197,-26.061003430396433,-26.375465992088554,-26.680878477744578,-26.97775312188578,-27.266559267967178,-27.54772807365471,-27.821656583525034,-28.08871126911577,-28.349231118232698,-28.60353034103192,-28.851900748835586,-29.09461385229397,-29.331922717910707,-29.56406361573714,-29.791257485941458,-30.01371124774515,-30.231618970726892,-30.44516292558358,-30.65451452900315,-30.859835195259492,-31.061277105415314,-31.25898390355932,-31.453091328265486,-31.64372778640589,-31.831014875545954,-32.01506786037696,-32.195996107975354,-32.3739034861034,-32.54888872826962,###,###,###,
###,###,-9.296865444604034,-10.867301705699111,-12.199281777765306,-13.360484412014614,-14.392415845215861,-15.322615782250043,-16.170406081719253,-16.949922713182637,-17.671851233002176,-18.344484047805963,-18.97439701913417,-19.566900129502194,-20.12634778439148,-20.65635853629532,-21.159974446634735,-21.639779094620277,-22.097986567548723,-22.53650965458052,-22.957012856085317,-23.36095412046192,-23.74961808684567,-24.124142840599493,-24.485541653460324,-24.834720802868997,-25.172494294755758,-25.49959611775928,-25.816690512432487,-26.124380631460454,-26.423215885975104,-26.713698211500148,-26.99628743981217,-27.271405926410658,-27.53944255471762,-27.80075621564463,-28.05567884334344,-28.304518073736062,-28.54755958099855,-28.785069137943104,-29.017294438743075,-29.24446671631794,-29.466802181660707,-29.684503308237964,-29.897759981146866,-30.10675052784622,-30.311642644878855,-30.512594232988334,-30.70975415133448,-30.903262900076385,-31.093253239370007,-31.27985075179004,-31.463174354296232,-31.643336765103708,-31.820444930160953,-31.994600413376002,###,###,###,###,
###,###,-9.372735972261465,-10.92172570917567,-12.23305596713811,-13.374806803191532,-14.38852686272733,-15.301686774993357,-16.13350823867797,-16.898024208442187,-17.605824206685035,-18.265114479484453,-18.882394817135957,-19.462908449219615,-20.010951278636107,-20.530090521076247,-21.023323072525546,-21.493192646296187,-21.941878015250087,-22.37126057028612,-22.78297679251689,-23.17845953632354,-23.5589708883573,-23.925628597847478,-24.27942754035622,-24.621257301404384,-24.95191669753824,-25.27212585728604,-25.582536340999006,-25.88373967184085,-26.176274569898368,-26.460633120368467,-26.73726605996126,-27.00658732942341,-27.26897801180402,-27.52478975384227,-27.774347750232938,-28.01795335646861,-28.255886384671108,-28.4884071277093,-28.715758149494334,-28.93816587329437,-29.15584199494454,-29.368984743730287,-29.577780010324684,-29.78240235833414,-29.98301593363939,-30.179775283736976,-30.372826097610222,-30.562305875245727,-30.748344534708817,-30.93106496366969,-31.110583521395736,-31.287010496478086,-31.46045052491484,###,###,###,###,###,
###,###,-9.446036623643524,-10.974168281347733,-12.265524126140507,-13.388517054655342,-14.38470941965966,-15.281490470725794,-16.09797683556124,-16.848097054810555,-17.542344921397472,-18.188841639201783,-18.794012405609898,-19.36303529949502,-19.900149324349936,-20.408871900684648,-20.892156209508155,-21.352507445937093,-21.79207031156028,-22.212695941055376,-22.61599384321189,-23.003372737351047,-23.376073036033898,-23.73519295742729,-24.08170971949806,-24.416496894248276,-24.740338732822753,-25.053942078414348,-25.357946341432125,-25.652931905472247,-25.93942725299651,-26.217915039137058,-26.48883729566367,-26.752599911265595,-27.009576506308274,-27.26011179821623,-27.50452453620641,-27.743110070198234,-27.97614260757435,-28.20387720246004,-28.426551514876547,-28.644387371150753,-28.85759215206307,-29.066360031171513,-29.270873082400023,-29.47130227318991,-29.66780835718219,-29.86054267844207,-30.049647897587455,-30.235258648790385,-30.417502135435576,-30.59649867121412,-30.77236217256819,-30.945200607666003,###,###,###,###,###,###,
###,###,-9.51688941555714,-11.024732340365713,-12.296758837781443,-13.401652738546579,-14.380964496035137,-15.261991215082361,-16.063740323014407,-16.800034938253454,-17.48127360978784,-18.115493683173554,-18.709047242536748,-19.267048784208793,-19.793681962587765,-20.29241588264748,-20.766161395470146,-21.217386460161116,-21.648202886477335,-22.060432634039167,-22.455659228736632,-22.835268159845317,-23.200478993865115,-23.55237117608091,-23.89190496186125,-24.219938547617375,-24.53724220549958,-24.844510033250707,-25.14236978918667,-25.43139117716341,-25.7120928674114,-25.984948479164142,-26.250391705054078,-26.50882072171528,-26.760602003323193,-27.0060736330275,-27.245548189996256,-27.47931527605009,-27.707643734842506,-27.930783607644177,-28.148967862566295,-28.36241392816179,-28.57132505750315,-28.77589154484787,-28.97629181369494,-29.172693392286376,-29.36525379030822,-29.554121288616702,-29.73943565218927,-29.921328775128142,-30.09992526537576,-30.275342975810933,-30.44769348754543,###,###,###,###,###,###,###,
###,###,-9.58540924421366,-11.073514042657933,-12.32682752856739,-13.414248475746518,-14.377292598977242,-15.243155459409232,-16.030731842196182,-16.753738774557,-17.422480200124095,-18.044910841123453,-18.627311142952856,-19.174733551786435,-19.691307871444995,-20.18045631170753,-20.645048716936003,-21.08751703090618,-21.50994129145315,-21.914115307621554,-22.301597558409856,-22.673751158057343,-23.031775608413437,-23.376732296711936,-23.709565170468856,-24.03111765108387,-24.3421465834693,-24.643333827648163,-24.935295957837567,-25.218592430241188,-25.493732502456286,-25.761181127972556,-26.02136400371547,-26.274671913397047,-26.52146448200947,-26.76207343525024,-26.996805440619077,-27.225944593339975,-27.44975459936675,-27.668480698938687,-27.882351367016966,-28.091579821108986,-28.296365362211358,-28.49689457066325,-28.69334237544061,-28.885873012707147,-29.074640887171388,-29.259791347895302,-29.44146138859944,-29.61978028115386,-29.79487014979581,-29.966846492636485,###,###,###,###,###,###,###,###,
###,###,###,-11.120603309993985,-12.355792909275886,-13.42633621526991,-14.373693842687969,-15.224951623761399,-15.998888864813368,-16.70911612706199,-17.365843516205352,-17.97694440499845,-18.548629064242547,-19.08588938537972,-19.592802769600937,-20.072745895137395,-20.52854886435779,-20.962608768619525,-21.376974938077712,-21.773414002847304,-22.153460281372247,-22.51845532144994,-22.8695792984814,-23.2078762163488,-23.53427433223359,-23.849602858587655,-24.154605732841006,-24.44995305534795,-24.736250656678045,-25.014048151890655,-25.283845761768646,-25.546100122085402,-25.801229256877672,-26.049616856847095,-26.29161597686405,-26.527552245224545,-26.757726660446874,-26.982418037959295,-27.2018851582592,-27.416368659435353,-27.62609270989508,-27.831266491385676,-28.032085517682898,-28.228732810430795,-28.421379950397725,-28.610188019735855,-28.795308448593527,-28.97688377755374,-29.15504834579262,-29.329928913514795,###,###,###,###,###,###,###,###,###,###,
